kenteken,datum_tenaamstelling,merk,voertuigsoort,eerste_kleur,brandstof_omschrijving
8227TK,2004-01-21,BMW,Personenauto,BEIGE,LPG
99HLVV,2004-01-23,RENAULT,Personenauto,GRIJS,Benzine
VZ7626,2004-02-05,HONDA,Motorfiets,N.v.t.,Benzine
TZBL60,2004-02-12,OPEL,Personenauto,GROEN,Benzine
MD82VS,2004-01-26,SUZUKI,Motorfiets,N.v.t.,Benzine
MJVN64,2004-01-31,YAMAHA,Motorfiets,N.v.t.,Benzine
MR57HL,2004-01-09,YAMAHA,Motorfiets,N.v.t.,Benzine
MT88ST,2004-02-13,YAMAHA,Motorfiets,N.v.t.,Benzine
XZ8401,2004-01-02,HONDA,Motorfiets,N.v.t.,Benzine
MZ55FD,2004-02-05,EIGENBOUW,Motorfiets,N.v.t.,Benzine
NTST90,2004-01-24,HONDA,Personenauto,BLAUW,Benzine
15NSXZ,2004-02-13,PEUGEOT,Personenauto,BLAUW,Benzine
49NSKD,2004-01-30,FORD,Personenauto,GRIJS,Benzine
MX79GX,2004-01-09,HONDA,Motorfiets,N.v.t.,Benzine
19HRKZ,2004-01-31,VOLKSWAGEN,Personenauto,ZWART,Benzine
MDHD82,2004-01-07,YAMAHA,Motorfiets,N.v.t.,Benzine
MN06RL,2004-02-14,KAWASAKI,Motorfiets,N.v.t.,Benzine
FLRN14,2004-01-30,BMW,Personenauto,ZWART,Benzine
60YA68,2004-01-31,MG,Personenauto,WIT,Benzine
46DFTN,2004-01-17,VOLKSWAGEN,Personenauto,BLAUW,Diesel
18NRJR,2004-01-16,RENAULT,Personenauto,ZWART,Benzine
MG79KN,2004-01-14,BMW,Motorfiets,N.v.t.,Benzine
52NPGP,2004-01-20,HYUNDAI,Personenauto,BLAUW,Benzine
BHZL69,2004-02-10,SCANIA,Bedrijfsauto,N.v.t.,Diesel
XXZN75,2004-02-05,SUBARU,Personenauto,GROEN,Benzine
RXJS08,2004-01-29,PEUGEOT,Personenauto,GROEN,Benzine
NG41FP,2004-02-05,SAAB,Personenauto,ROOD,Benzine
24BGLF,2004-02-12,CITROEN,Bedrijfsauto,N.v.t.,Diesel
17JNPB,2004-01-27,HYUNDAI,Personenauto,GRIJS,Benzine
34FBRF,2004-02-12,TOYOTA,Personenauto,GRIJS,Benzine
AL6214,2004-01-16,DODGE,Personenauto,WIT,Benzine
39NTGL,2004-02-12,VOLKSWAGEN,Personenauto,BEIGE,Benzine
14XG25,2004-02-11,TRIUMPH,Personenauto,ROOD,Benzine
96FLHL,2004-01-23,TOYOTA,Personenauto,GRIJS,Benzine
68GJDK,2004-01-26,FORD,Personenauto,GRIJS,Benzine
